CURRENT 現有舊模板,,,CURRENT 現有舊模板,,,新 MCH,,,,,
LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Noodles/Wrappers,新鮮麵/年糕/麵皮,新鲜面/年糕/面皮,32,Wrapper&Chill Ingred,餃子皮/冷藏食材,10303204,Chilled Konjac,冷藏魔芋
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Noodles/Wrappers,新鮮麵/年糕/麵皮,新鲜面/年糕/面皮,32,Wrapper&Chill Ingred,餃子皮/冷藏食材,10303205,Chilled Fillings,冷藏餡料
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Noodles/Wrappers,新鮮麵/年糕/麵皮,新鲜面/年糕/面皮,24,Frozen Meal,冷凍餐食,10402411,Frz Rice Cake Plain,冷凍年糕
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,31,Chilled Noodle&Bun,冷藏麵點,10303107,Chill Rdsh/Taro Cake,冷藏蘿蔔糕芋頭糕
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,41,Chilled Meal,冷藏餐食,10304101,Chilled Cooked Soup,冷藏湯類
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,41,Chilled Meal,冷藏餐食,10304102,Chilled Cooked Congee,冷藏粥類
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,41,Chilled Meal,冷藏餐食,10304103,Chilled Rice Meal,冷藏飯食
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,23,Frozen Dim Sum,冷凍包點,10402309,Frozen Shumai,冷凍燒賣
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,23,Frozen Dim Sum,冷凍包點,10402310,Frozen Spring Roll,冷凍春捲
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,23,Frozen Dim Sum,冷凍包點,10402312,Frz DimSum Shrmp Dpg,冷凍蝦餃
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,23,Frozen Dim Sum,冷凍包點,10402313,Frz Rice Ball/Roll,冷凍飯糰
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,23,Frozen Dim Sum,冷凍包點,10402314,Frz Rice Dplg Savory,冷凍粽子 咸
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,23,Frozen Dim Sum,冷凍包點,10402315,Frz Rice Dplg Sweet,冷凍粽子 甜
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,23,Frozen Dim Sum,冷凍包點,10402316,Frozen Fried Dough,冷凍油條
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,23,Frozen Dim Sum,冷凍包點,10402317,Frz Radish/Taro Cake,冷凍蘿蔔芋頭地瓜糕
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,24,Frozen Meal,冷凍餐食,10402401,Frozen Rice Meal,冷凍飯食
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,24,Frozen Meal,冷凍餐食,10402402,Frozen Noodle Meal,冷凍麵食
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,24,Frozen Meal,冷凍餐食,10402403,Frozen Cooked Congee,冷凍粥 熟
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,24,Frozen Meal,冷凍餐食,10402404,Frozen Cooked Dish,冷凍熟菜
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,24,Frozen Meal,冷凍餐食,10402405,Frozen Cooked Soup,冷凍湯
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,24,Frozen Meal,冷凍餐食,10402406,Frz Udon Noodle pln,冷凍烏冬麵 無料包
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,24,Frozen Meal,冷凍餐食,10402407,Frz Noodle Plain,冷凍麵條 無料包
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Instant Meal,點心/飯/麵/湯,点心/饭/面/汤,24,Frozen Meal,冷凍餐食,10402412,Frz Meal Mainstream,冷凍西式餐食
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Meat/Fish Ball,肉丸/鱼丸,肉丸/鱼丸,36,Chil Hot Pot Ball,冷藏火鍋丸子,10303601,Chil Hotpot meatball,冷藏火鍋肉丸類
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Meat/Fish Ball,肉丸/鱼丸,肉丸/鱼丸,36,Chil Hot Pot Ball,冷藏火鍋丸子,10303602,Chil Hotpot Sfd ball,冷藏火鍋魚丸類
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Meat/Fish Ball,肉丸/鱼丸,肉丸/鱼丸,27,Frz Hot Pot Ball,冷凍丸子,10402701,Frz Hotpot meat ball,冷凍火鍋肉丸類
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Meat/Fish Ball,肉丸/鱼丸,肉丸/鱼丸,27,Frz Hot Pot Ball,冷凍丸子,10402702,Frz Hotpot Sfd ball,冷凍火鍋魚丸類
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Bun/Pancake,包子/大餅,包子/大饼,31,Chilled Noodle&Bun,冷藏麵點,10303106,Chilled Bun,冷藏饅頭包點
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Bun/Pancake,包子/大餅,包子/大饼,31,Chilled Noodle&Bun,冷藏麵點,10303111,Chilled Pancake,冷藏燒餅捲餅
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Bun/Pancake,包子/大餅,包子/大饼,23,Frozen Dim Sum,冷凍包點,10402301,Frozen Meat Bun,冷凍肉包
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Bun/Pancake,包子/大餅,包子/大饼,23,Frozen Dim Sum,冷凍包點,10402302,Frozen Vege Bun,冷凍素包
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Bun/Pancake,包子/大餅,包子/大饼,23,Frozen Dim Sum,冷凍包點,10402303,Frozen Dessert Bun,冷凍甜包
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Bun/Pancake,包子/大餅,包子/大饼,23,Frozen Dim Sum,冷凍包點,10402307,Frz Plain Bun Taiwan,冷凍饅頭 台灣
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Bun/Pancake,包子/大餅,包子/大饼,23,Frozen Dim Sum,冷凍包點,10402308,Frz Plain Bun CH,冷凍饅頭 中國
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Bun/Pancake,包子/大餅,包子/大饼,23,Frozen Dim Sum,冷凍包點,10402311,Other Frz Dim Sum ,其他冷凍包點
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Bun/Pancake,包子/大餅,包子/大饼,24,Frozen Meal,冷凍餐食,10402408,Frozen Pancake,冷凍手抓餅
